Index,LCSC#,MPN,Manufacturer,Package,Description,RoHS,Needed,Order Quantity,MOQ,Multiple,Unit Price,Extended Price,Product Link,Already Owned by Daringcuteseal,Note
1,C382139,TP4056,TPOWER,ESOP-8,Lithium-ion/Polymer ESOP-8,TRUE,1,5,5,5,$0.11830,$0.59,https://www.lcsc.com/product-detail/C382139.html,FALSE,
2,C2927026,USB-TYPE-C-006,DEALON,SMD,"USB-C (USB TYPE-C) Receptacle Connector 6 Position Surface Mount, Right Angle",TRUE,1,10,10,10,$0.04910,$0.49,https://www.lcsc.com/product-detail/C2927026.html,FALSE,
3,C2830320,FS8205A,TECH PUBLIC,SOT-23-6,20V 9A 1.5W Surface Mount SOT-23-6,TRUE,1,10,10,10,$0.04710,$0.47,https://www.lcsc.com/product-detail/C2830320.html,FALSE,
4,C22366440,DMP1045U-HXY,HXY MOSFET,SOT-23,P-Channel 20V 5A 1.4W Surface Mount SOT-23,TRUE,1,10,10,10,$0.06240,$0.62,https://www.lcsc.com/product-detail/C22366440.html,FALSE,
5,C20996,SMD1812P075TF,RUILON,1812,Polymeric PTC Resettable Fuse 13.2V 750mA Surface Mount 1812,TRUE,1,5,5,5,$0.08730,$0.44,https://www.lcsc.com/product-detail/C20996.html,FALSE,
6,C15008,CL31A107MQHNNNE,Samsung Electro-Mechanics,1206,100uF ±20% 6.3V Ceramic Capacitor X5R 1206,TRUE,3,10,10,10,$0.06810,$0.68,https://www.lcsc.com/product-detail/C15008.html,FALSE,
7,C2100,1SS404,JSCJ,SOD-323,Diode 20V 300mA Surface Mount SOD-323,TRUE,1,20,20,20,$0.03360,$0.67,https://www.lcsc.com/product-detail/C2100.html,FALSE,
8,C2937639,SMD1812P020TF,PTTC(Polytronics Tech),1812,Polymeric PTC Resettable Fuse 30V 200mA Surface Mount 1812,TRUE,1,10,10,10,$0.08940,$0.89,https://www.lcsc.com/product-detail/C2937639.html,FALSE,
9,C15401,0603WAJ0103T5E,UNI-ROYAL,603,10kΩ ±5% 100mW 0603 Thick Film Resistor,TRUE,3,100,100,100,$0.00110,$0.11,https://www.lcsc.com/product-detail/C15401.html,FALSE,
10,C23186,0603WAF5101T5E,UNI-ROYAL,603,5.1kΩ ±1% 100mW 0603 Thick Film Resistor,TRUE,2,100,100,100,$0.00160,$0.16,https://www.lcsc.com/product-detail/C23186.html,FALSE,
11,C14675,RC0603FR-07100KL,YAGEO,603,100mW 100kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,TRUE,1,100,100,100,$0.00140,$0.14,https://www.lcsc.com/product-detail/C14675.html,FALSE,
12,C2890037,SK6812SIDE-A-RVS,OPSCO Optoelectronics,"SMD-4P,4x2mm","SMD-4P,4x2mm LED Addressable, Specialty RoHS",TRUE,24,30,5,5,$0.09340,$2.80,https://www.lcsc.com/product-detail/C2890037.html,FALSE,Have to buy slightly more than needed. Apparently they’re pain to solder (can break easily when overheated).
13,C2680613,CHS-01TB,Nidec,SMD,Dip Switch SPST 1 Position 100mA 6V,TRUE,2,2,1,1,$0.97000,$1.94,https://www.lcsc.com/product-detail/C2680613.html,FALSE,
